limp,lacking strength; walking unevenly
relapse,fall back again
turmoil,trouble disturbance
retrograde,receding
woo,try to win
skit,short piece of humorous writing
salvage,the saving of property from loss
centurion,leader of a unit of 100 soldiers
brass,yellow metal (mixing copper and zinc)
buoyant,able to float; light-hearted
enzyme,catalyst
amalgamate,mix; combine; unite societies
indigenous,native
pivotal,of great importance (others depend on it)
animosity,strong dislike
sluggard,lazy slow-moving person
introspection,examining one's own thoughts and feelings
commuter,person who travels regularly
shunned,avoided, kept away from"
knit,draw together; unite firmly
chortle,loud chuckle of pleasure or amusement
solvent,of the power of forming a solution
introvert,one who turns towards himself
heterogeneous,made up of different kinds
inclined,directing the mind in a certain direction
braggart,boastful
stride,walk with long steps
patron,regular customer person who gives support
chisel,steel tool for shaping materials
asterisk,the mark * (e.g.. omitted letters)
conjoin,to join together
tractable,easily controlled or guided
enigma,something that is puzzling
treacherous,not to be trusted, perfidious"
opaqueness,dullness/not allowing light to pass through
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
garrulous,too talkative
ingest,take in by swallowing
steeply,rising or falling sharply
pilferer,to steal, especially in small quantities"
refine,make or become pure cultural
legacy,Bequest or inheritance
somersault,rolling backward or forward (not sideways) movement
benefactor,person who has given help
combustion,process of burning
misogynist,one who hates women/females
mesmerize,hypnotize
acumen,Keen, quick, accurate insight or judgment"
gait,a manner of walking, stepping, or running"
engulf,swallow up
writ,written order
meticulous,giving great attention to details
impede,hinder; get in the way of
auxiliary,helping; supporting
adorn,add beauty; decorate
anguish,severe suffering
ameliorate,improve; make better
permeate,spread into every part of
incongruous,out of place; not in harmony or agreement
superimpose,put something on the top
abscond,to go away suddenly (to avoid arrest)
ossified,turned to bone; hardened like bone; Inflexible
audacious,Bold
sadistic,Cruel
grievous,causing grief or pain; serious dire grave
impermeable,that cannot be permeated
philanthropist,one who loves mankind
curriculum,course of study
judicious,sound in judgment; wise
fidelity,loyalty accuracy
bewilder,puzzle; confuse
dote,show much fondness center one's attention
antidote,medicine used against a poison or a disease
gallant,brave,behaves well with women"
brittle,easily broken
tadpole,form of a frog when it leaves the egg
dupe,cheat make a fool of
sanction,approval (by authority) penalty
stray,wander lose one's way
dwarf,person much smaller the usual size
fragrant,sweet-smelling
flimsy,lacking solidarity, strength"
gerontocracy,government ruled by old people
invincible,too strong to be defeated
eulogy,formal praise panegyric
agile,active; quick-moving
affinity,close connection; relationship
presentiment,anticipatory fear; premonition
flop,fail/move/fall clumsily
abide,be faithful; to endure
moribund,in a dying state; near death
timid,shy easily frightened
vigorous,strong energetic
defer,postpone
entice,attract, lure"
conceal,hide keep secret
alleviate,make (pain) easier to bear
renovate,restore something to better condition
concur,agree in opinion happen together
drowsiness,feeling sleepy half asleep
console,give comfort or sympathy to
extralegal,outside the law
fission,splitting or division (esp. of cells)
pertain,belong as a part have reference
scent,smell (especially pleasant)
sporadic,happening from time to time
ambidextrous,able to use the left hand or the right equally well
surcharge,additional load/charge
acclaimed,welcomed with shouts and approval
tonic,something giving strength or energy
foolproof,incapable of failure or error
edify,instruct; correct morally
disrobe,undress
enduring,lasting
infuriate,fill with fury or rage
mite,A very small amount, portion, or particle"
moderation,quality of being limited; not extreme
dormant,in a state of inactivity but awaiting development
clientele,customers
paradigm,a model example or pattern
perjury,willful FALSE statement unlawful act
hospitable,liking to give hospitality
jabber,talk excitedly; utter rapidly
connote,Suggest or imply in addition to the precise, literal meaning"
nihilism,total rejection of all religious and moral beliefs
volatile,changeable inconstant fickle unstable explosive
pluck,pull the feathers off pick (e.g.. flowers)
precursors,a person or thing that precedes, as in a process or job."
resuscitation,coming back to consciousness
suffocate,cause or have difficulty in breathing
premature,doing or happening something before the right time
recitals,a number of performance of music
malevolent,malicious; evil; having or showing ill will
submerge,put under water liquid sink out of sight
livid,Furiously angry, enraged"
negligent,taking too little care
shallow,little depth; not earnest
repulsive,causing a feeling of disgust
offhand,Without preparation or forethought
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
